Variable;lbl;lbl2
nb_29;Nombre d'établissements - Industrie automobile;nb_29 : Nombre d'établissements - Industrie automobile
nb_30;Nombre d'établissements - Fabrication d'autres matériels de transport;nb_30 : Nombre d'établissements - Fabrication d'autres matériels de transport
nb_31;Nombre d'établissements - Fabrication de meubles;nb_31 : Nombre d'établissements - Fabrication de meubles
nb_32;Nombre d'établissements - Autres industries manufacturières;nb_32 : Nombre d'établissements - Autres industries manufacturières
nb_33;Nombre d'établissements - Réparation et installation de machines et d'équipements;nb_33 : Nombre d'établissements - Réparation et installation de machines et d'équipements
nb_35;Nombre d'établissements - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;nb_35 : Nombre d'établissements - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
nb_36;Nombre d'établissements - Captage, traitement et distribution d'eau;nb_36 : Nombre d'établissements - Captage, traitement et distribution d'eau
nb_37;Nombre d'établissements - Collecte et traitement des eaux usées;nb_37 : Nombre d'établissements - Collecte et traitement des eaux usées
nb_38;"Nombre d'établissements - Collecte, traitement et élimination des déchets ; récupération";"nb_38 : Nombre d'établissements - Collecte, traitement et élimination des déchets ; récupération"
nb_39;Nombre d'établissements - Dépollution et autres services de gestion des déchets;nb_39 : Nombre d'établissements - Dépollution et autres services de gestion des déchets
nb_41;Nombre d'établissements - Construction de bƒtiments;nb_41 : Nombre d'établissements - Construction de bƒtiments
nb_42;Nombre d'établissements - Génie civil;nb_42 : Nombre d'établissements - Génie civil
nb_43;Nombre d'établissements - Travaux de construction spécialisés;nb_43 : Nombre d'établissements - Travaux de construction spécialisés
nb_45;Nombre d'établissements - Commerce et réparation d'automobiles et de motocycles;nb_45 : Nombre d'établissements - Commerce et réparation d'automobiles et de motocycles
nb_46;Nombre d'établissements - Commerce de gros, à l'exception des automobiles et des motocycles;nb_46 : Nombre d'établissements - Commerce de gros, à l'exception des automobiles et des motocycles
nb_47;Nombre d'établissements - Commerce de détail, à l'exception des automobiles et des motocycles;nb_47 : Nombre d'établissements - Commerce de détail, à l'exception des automobiles et des motocycles
nb_49;Nombre d'établissements - Transports terrestres et transport par conduites;nb_49 : Nombre d'établissements - Transports terrestres et transport par conduites
nb_50;Nombre d'établissements - Transports par eau;nb_50 : Nombre d'établissements - Transports par eau
nb_51;Nombre d'établissements - Transports aériens;nb_51 : Nombre d'établissements - Transports aériens
nb_52;Nombre d'établissements - Entreposage et services auxiliaires des transports;nb_52 : Nombre d'établissements - Entreposage et services auxiliaires des transports
nb_53;Nombre d'établissements - Activités de poste et de courrier;nb_53 : Nombre d'établissements - Activités de poste et de courrier
nb_55;Nombre d'établissements - Hébergement;nb_55 : Nombre d'établissements - Hébergement
nb_56;Nombre d'établissements - Restauration;nb_56 : Nombre d'établissements - Restauration
nb_58;Nombre d'établissements - Edition;nb_58 : Nombre d'établissements - Edition
nb_59;"Nombre d'établissements - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale";"nb_59 : Nombre d'établissements - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale"
nb_60;Nombre d'établissements - Programmation et diffusion;nb_60 : Nombre d'établissements - Programmation et diffusion
nb_61;Nombre d'établissements - Télécommunications;nb_61 : Nombre d'établissements - Télécommunications
nb_62;Nombre d'établissements - Programmation, conseil et autres activités informatiques;nb_62 : Nombre d'établissements - Programmation, conseil et autres activités informatiques
nb_63;Nombre d'établissements - Services d'information;nb_63 : Nombre d'établissements - Services d'information
nb_64;Nombre d'établissements - Activités des services financiers, hors assurance et caisses de retraite;nb_64 : Nombre d'établissements - Activités des services financiers, hors assurance et caisses de retraite
nb_65;Nombre d'établissements - Assurance;nb_65 : Nombre d'établissements - Assurance
nb_66;Nombre d'établissements - Activités auxiliaires de services financiers et d'assurance;nb_66 : Nombre d'établissements - Activités auxiliaires de services financiers et d'assurance
nb_68;Nombre d'établissements - Activités immobilières;nb_68 : Nombre d'établissements - Activités immobilières
nb_69;Nombre d'établissements - Activités juridiques et comptables;nb_69 : Nombre d'établissements - Activités juridiques et comptables
nb_70;"Nombre d'établissements - Activités des sièges sociaux ; conseil de gestion";"nb_70 : Nombre d'établissements - Activités des sièges sociaux ; conseil de gestion"
nb_71;"Nombre d'établissements - Activités d'architecture et d'ingénierie ; activités de contr“le et analyses techniques";"nb_71 : Nombre d'établissements - Activités d'architecture et d'ingénierie ; activités de contr“le et analyses techniques"
nb_72;Nombre d'établissements - Recherche-développement scientifique;nb_72 : Nombre d'établissements - Recherche-développement scientifique
