"","number","name","address","lat","lon","lon2"
"165",7002,"07002 - VANEAU","86 RUE VANEAU - 75007 PARIS",48.8485776075611,2.32041739312382,1.52662091544302
"166",7003,"07003 - BON MARCHE","RUE VELPEAU - 75007 PARIS",48.8512303802885,2.32507003873862,1.52968192771122
"167",7004,"07004 - RASPAIL VARENNE","FACE 28 BOULEVARD RASPAIL - 75007 PARIS",48.8532616686117,2.32631980638438,1.53050415970841
"168",7005,"07005 - BAC","FACE 2 BOULEVARD RASPAIL - 75007 PARIS",48.855461735956,2.32568193588915,1.53008449967559
"169",7006,"07006 - QUAI VOLTAIRE","QUAI VOLTAIRE - 75007 PARIS",48.858942986179,2.33141820471457,1.53385843620591
"170",7007,"07007 - MUSÉE D'ORSAY","62 RUE DE LILLE - 75007 PARIS",48.859710104435,2.32580902462503,1.53016811235789
"171",7008,"07008 - SOLFERINO","10 RUE DE VILLERSEXEL - 75007 PARIS",48.8583186469038,2.32383843778942,1.52887164772707
"172",7009,"07009 - ASSEMBLEE NATIONALE","FACE 119 RUE DE LILLE - 75007 PARIS",48.8613738909426,2.32013127690393,1.52643267732395
"173",7010,"07010 - INVALIDES","FACE 3 RUE DE CONSTANTINE - 75007 PARIS",48.8607699579973,2.31483827949527,1.52295037255698
"174",7011,"07011 - ST DOMINIQUE","30 BIS RUE LAS CASES - 75007 PARIS",48.859068394963,2.318624221125,1.52544117343346
"175",7012,"07012 - CITE VANEAU","7 CITE VANEAU - 75007 PARIS",48.854268334051,2.31945401006142,1.52598709812334
"176",7013,"07013 - PLACE DE BRETEUIL","17 RUE DUROC - 75007 PARIS",48.8475022584009,2.31268832866208,1.52153590293662
"177",7014,"07014 - SAINT FRANCOIS XAVIER","35 BOULEVARD DES INVALIDES - 75007 PARIS",48.8516782290479,2.31463384062783,1.52281587061268
"178",7015,"07015 - VARENNE","9 BOULEVARD DES INVALIDES - 75007 PARIS",48.8572901184631,2.31530968318177,1.5232605127626
"179",7016,"07016 - TOUR MAUBOURG UNIVERSITE","13 RUE SURCOUF - 75007 PARIS",48.8612730162781,2.30945355091418,1.51940771712773
"180",7017,"07017 - LA TOUR MAUBOURG","1 AVENUE DE LA MOTTE PICQUET - 75007 PARIS",48.8572764982962,2.31025792753499,1.51993692285463
"181",7018,"07018 - SEGUR ESTREES","23 AVENUE DE SEGUR - 75007 PARIS",48.851294334589,2.30974761560334,1.51960118460746
"182",7019,"07019 - ECOLE MILITAIRE","85 AVENUE BOSQUET - 75007 PARIS",48.8549511680067,2.30547863419572,1.516792588049
"183",7020,"07020 - CLER","FACE 3 RUE DU CHAMP DE MARS - 75007 PARIS",48.8566411001182,2.30659853411182,1.51752937904195
"184",7021,"07021 - BOSQUET SAINT DOMINIQUE","37 AVENUE BOSQUET - 75007 PARIS",48.8586517095264,2.30371658023458,1.51563331884201
"185",7022,"07022 - PONT DE L'ALMA","3 AVENUE BOSQUET - 75007 PARIS",48.8616404995762,2.30225034417595,1.51466867056765
"186",7023,"07023 - BOURDONNAIS TOUR EIFFEL","QUAI BRANLY - 75007 PARIS",48.860897797941,2.29559959844703,1.51029309246556
"187",7024,"07024 - AVENUE RAPP","43 AVENUE RAPP - 75007 PARIS",48.8581690434843,2.30052833004389,1.5135357438802
"188",7025,"07025 - SUFFREN TOUR EIFFEL","2 AVENUE OCTAVE CREARD - 75007 PARIS",48.8565029776956,2.29317875432888,1.50870040001516
"189",7026,"07026 - PLACE DE FINLANDE","39 QUAI D'ORSAY - 75007 PARIS",48.86269,2.31138,1.52067514318464
"190",7101,"07101 - SEVRES BABYLONE","BOULEVARD RASPAIL - 75007 PARIS",48.8522416177073,2.32660601947681,1.53069246156069
"191",7102,"07102 - SAINTE CLOTHILDE","FACE 19 RUE CASIMIR PERIER - 75007 PARIS",48.8578291107092,2.31914905257935,1.5257864641892
"192",7103,"07103 - BELGRADE","2 RUE DE BELGRADE - 75007 PARIS",48.8560593100747,2.30223912888456,1.51466129193893
"193",8001,"08001 - PETIT PALAIS","AV. DUTUIT - 75008 PARIS",48.8668438032522,2.31577971341003,1.5235697493592
