NOM ETABLISSEMENT;ADRESSE;CODE POSTAL;COMMUNE;CODE DEPARTEMENT;REGION;FAUTEUILS;SEANCES;TRANCHE D'ENTREES
LE NOZEK;RUE DE LA GARE;44170;NOZAY;44;PAYS-DE-LA-LOIRE;210;333;De 10 à 20 000 entrées
SALLE ROCH;13 RUE ST ROCH;56160;GUEMENE-SUR-SCORFF;56;BRETAGNE;210;441;De 5 à 10 000 entrées
ESPACE SAINT MICHEL 1;7 PLACE ST MICHEL;75005;PARIS 5ME;75;ILE-DE-FRANCE;210;4 271;De 50 à 75 000 entrées
CONCORDE;4 AV DES BOSQUETS;77290;MITRY-MORY;77;ILE-DE-FRANCE;210;1 169;De 20 à 30 000 entrées
COLISEE;1 PLACE DU COLISEE;87130;CHATEAUNEUF-LA-FORET;87;LIMOUSIN;210;251;De 2 à 5 000 entrées
STUDIO DES CHAMPS LASNIERS;AVENUE DU BERRY;91940;LES ULIS;91;ILE-DE-FRANCE;210;816;De 20 à 30 000 entrées
KORRIGAN;3 RUE DE LA VAUNOISE;35850;ROMILLE;35;BRETAGNE;209;551;De 20 à 30 000 entrées
CINE SAUZE;PLACE DE SAUZE;04400;ENCHASTRAYES;04;PROVENCE-ALPES-COTE D'AZUR;208;316;De 2 à 5 000 entrées
L'ESTRAN;PLACE CARNOT;17320;MARENNES;17;POITOU-CHARENTES;208;867;De 20 à 30 000 entrées
AUDITORIUM EXQUINOXE;6 - 8 RUE DE L'HOTEL DE VILLE;38110;LA TOUR-DU-PIN;38;RHONE-ALPES;208;995;De 20 à 30 000 entrées
CIN ETOILES;13 AV LAFAYETTE;43600;SAINTE-SIGOLENE;43;AUVERGNE;208;383;De 10 à 20 000 entrées
COURONNE;2 RUE DE LA GREE BLANCHE;56130;LA ROCHE-BERNARD;56;BRETAGNE;208;670;De 10 à 20 000 entrées
L'ESPACE;ESPACE ASS. CULTUREL DOUVAINE;74140;DOUVAINE;74;RHONE-ALPES;208;733;De 20 à 30 000 entrées
PAX;PLACE DU GENERAL DE GAULLE;80120;QUEND;80;PICARDIE;208;775;De 10 à 20 000 entrées
LE PESTEL;AV DE LA DIVISION DU TEXAS;26150;DIE;26;RHONE-ALPES;207;793;De 30 à 40 000 entrées
JOUR DE FETE;74 RUE DE VIENNE;27140;GISORS;27;HAUTE-NORMANDIE;207;967;De 20 à 30 000 entrées
LES CORBIERES;PLACE DE LA LIBERATION;11130;SIGEAN;11;LANGUEDOC-ROUSSILLON;206;540;De 10 à 20 000 entrées
